,CH,DBI,SIL,DBCV,DI,CJI,COP,dataset
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=gaussian-k=10-n=1000-d=10-noise=0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=gaussian-k=10-n=1000-d=30-noise=0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=gaussian-k=10-n=1000-d=50-noise=0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=gaussian-k=30-n=1000-d=10-noise=0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=gaussian-k=30-n=1000-d=30-noise=0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=gaussian-k=30-n=1000-d=50-noise=0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=gaussian-k=50-n=1000-d=10-noise=0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=gaussian-k=50-n=1000-d=30-noise=0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=gaussian-k=50-n=1000-d=50-noise=0
9,-763.7951260206962,0.8546498552133467,-0.37960894832993325,0.8527677449001767,-0.003451874928822988,-2.240966073550734,72.13389571284817,type=circles-k=2-n=1000-d=2-noise=0.0
10,-573.5763265295316,1.1840098869274254,-0.3540729988219523,0.8007972409432247,-0.0053771002118053034,-1.6881454821142499,51.87912629693016,type=circles-k=2-n=1000-d=2-noise=0.01
11,-567.6994781039299,1.1933097681181661,-0.35058487407255107,0.7355653882102664,-0.010581645895779632,-1.672369863471899,24.223492574540266,type=circles-k=2-n=1000-d=2-noise=0.05
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=circles-k=2-n=1000-d=2-noise=0.1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=moons-k=2-n=1000-d=2-noise=0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=moons-k=2-n=1000-d=2-noise=0.01
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=moons-k=2-n=1000-d=2-noise=0.05
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=moons-k=2-n=1000-d=2-noise=0.1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=varied-k=10-n=1000-d=10-noise=0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=varied-k=10-n=1000-d=30-noise=0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=varied-k=10-n=1000-d=50-noise=0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=varied-k=30-n=1000-d=10-noise=0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=varied-k=30-n=1000-d=30-noise=0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=varied-k=30-n=1000-d=50-noise=0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=varied-k=50-n=1000-d=10-noise=0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=varied-k=50-n=1000-d=30-noise=0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=varied-k=50-n=1000-d=50-noise=0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=gaussian-k=10-n=5000-d=10-noise=0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=gaussian-k=10-n=5000-d=30-noise=0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=gaussian-k=10-n=5000-d=50-noise=0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=gaussian-k=30-n=5000-d=10-noise=0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=gaussian-k=30-n=5000-d=30-noise=0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=gaussian-k=30-n=5000-d=50-noise=0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=gaussian-k=50-n=5000-d=10-noise=0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=gaussian-k=50-n=5000-d=30-noise=0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=gaussian-k=50-n=5000-d=50-noise=0
35,-3840.591733264309,0.8537852000529519,-0.38186178734727566,0.9234746348719828,-0.0006907751208255818,-2.2472430597805295,360.4273938378015,type=circles-k=2-n=5000-d=2-noise=0.0
36,-3875.560706693165,0.8519566940431469,-0.3838232599389069,0.8841907878903708,-0.0009171225686191735,-2.2586137848390666,235.16991373636554,type=circles-k=2-n=5000-d=2-noise=0.01
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=circles-k=2-n=5000-d=2-noise=0.05
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=circles-k=2-n=5000-d=2-noise=0.1
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=moons-k=2-n=5000-d=2-noise=0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=moons-k=2-n=5000-d=2-noise=0.01
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=moons-k=2-n=5000-d=2-noise=0.05
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=moons-k=2-n=5000-d=2-noise=0.1
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=varied-k=10-n=5000-d=10-noise=0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=varied-k=10-n=5000-d=30-noise=0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=varied-k=10-n=5000-d=50-noise=0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=varied-k=30-n=5000-d=10-noise=0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=varied-k=30-n=5000-d=30-noise=0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=varied-k=30-n=5000-d=50-noise=0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=varied-k=50-n=5000-d=10-noise=0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=varied-k=50-n=5000-d=30-noise=0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=varied-k=50-n=5000-d=50-noise=0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=gaussian-k=10-n=10000-d=10-noise=0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=gaussian-k=10-n=10000-d=30-noise=0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=gaussian-k=10-n=10000-d=50-noise=0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=gaussian-k=30-n=10000-d=10-noise=0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=gaussian-k=30-n=10000-d=30-noise=0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=gaussian-k=30-n=10000-d=50-noise=0
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=gaussian-k=50-n=10000-d=10-noise=0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=gaussian-k=50-n=10000-d=30-noise=0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=gaussian-k=50-n=10000-d=50-noise=0
61,-7681.445743799903,0.8538469389402348,-0.38197650901804253,0.9567157046372807,-0.00034528858848134733,-2.247017451611736,720.893976267043,type=circles-k=2-n=10000-d=2-noise=0.0
62,-5736.965808725025,1.1852449739593702,-0.35492651261772323,0.9140003064798554,-0.0002740556448770236,-1.6870422183902318,1005.2518361507551,type=circles-k=2-n=10000-d=2-noise=0.01
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=circles-k=2-n=10000-d=2-noise=0.05
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=circles-k=2-n=10000-d=2-noise=0.1
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=moons-k=2-n=10000-d=2-noise=0.0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=moons-k=2-n=10000-d=2-noise=0.01
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=moons-k=2-n=10000-d=2-noise=0.05
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=moons-k=2-n=10000-d=2-noise=0.1
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=varied-k=10-n=10000-d=10-noise=0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=varied-k=10-n=10000-d=30-noise=0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=varied-k=10-n=10000-d=50-noise=0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=varied-k=30-n=10000-d=10-noise=0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=varied-k=30-n=10000-d=30-noise=0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=varied-k=30-n=10000-d=50-noise=0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=varied-k=50-n=10000-d=10-noise=0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=varied-k=50-n=10000-d=30-noise=0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=varied-k=50-n=10000-d=50-noise=0
